Generation,Population
0,0.5
1,0.125
2,0.0546875
3,0.025848388671875
4,0.012590124737471342
5,0.006215806748283127
6,0.0030885852473755623
7,0.0015395229442726282
8,0.0007685764066883431
9,0.00038399284849771257
10,0.0001919226989950076
11,9.594293233630902e-05
12,4.7966863645021866e-05
13,2.3982281412506963e-05
14,1.1990853131342606e-05
15,5.9953546753918944e-06
16,2.9976593655571054e-06
17,1.4988251897977167e-06
18,7.494114716603835e-07
19,3.747054550214148e-07
20,1.873526573086184e-07
21,9.36763111038001e-08
22,4.683815116427442e-08
23,2.341907448523101e-08
24,1.170953696838898e-08
25,5.854768415637862e-09
26,2.9273841906797743e-09
27,1.463692091055098e-09
28,7.318460444563517e-10
29,3.6592302196037656e-10
30,1.8296151091323845e-10
31,9.148075543988177e-11
32,4.574037771575652e-11
33,2.2870188856832168e-11
34,1.1435094428154562e-11
35,5.717547214011901e-12
36,2.858773606989605e-12
37,1.4293868034907161e-12
38,7.146934017443365e-13
39,3.573467008719129e-13
40,1.7867335043589258e-13
41,8.933667521793034e-14
42,4.466833760896117e-14
43,2.233416880447959e-14
44,1.1167084402239545e-14
45,5.58354220111971e-15
46,2.7917711005598398e-15
47,1.395885550279916e-15
48,6.97942775139957e-16
49,3.4897138756997825e-16
